Score,City,X,Y,Name,Type_1,City_1,FullAddres
100,Albuquerque,-106.5775249,35.06460455,DAMACIOS,Small Grocery Store,Albuquerque,913 San Pedro Dr SE
100,Albuquerque,-106.5775249,35.06460455,DAMACIOS GROCERY,Medium Grocery Store,Albuquerque,913 San Pedro Dr SE
100,Albuquerque,-106.5775249,35.06460455,Damacios Grocery & Liquor,Small Grocery Store,Albuquerque,913 San Pedro Dr Se
97.6,Albuquerque,-106.6231753,35.10924419,DEE'S DENTED CAN,Fruits/Veg Specialty,ALBUQERQUE,2424 MENAUL BLVD NE
100,Albuquerque,-106.640779,35.06576019,DENNIS CHAVEZ SHARE,Food Buying Co-op,Albuquerque,715 Kathryn Ave SE
100,Albuquerque,-106.5293204,35.07161784,Diamond Bakery,Small Grocery Store,Albuquerque,9012 Central Ave Se
100,Albuquerque,-106.6383936,35.13851443,DOLLAR GENERAL 10502,Combination Grocery/Other,Albuquerque,201 Montano Rd NW
97.24,Albuquerque,-106.5775774,35.0603985,DOLLAR GENERAL 10188,Combination Grocery/Other,ALBUQUERQUE,301 SAN PEDRO SE
100,Albuquerque,-106.567452,35.08733243,DOLLAR GENERAL 10762,Combination Grocery/Other,Albuquerque,4910 Lomas Blvd NE
99.15,Albuquerque,-106.5293204,35.07161784,Dollar General 10730,Combination Grocery/Other,Albuquerque,11816 Central Ave SE
100,Albuquerque,-106.5149536,35.08584808,DOLLAR GENERAL 10922,Combination Grocery/Other,Albuquerque,840 Juan Tabo Blvd NE
100,Albuquerque,-106.6944779,34.95154629,Dollar General 11867,Combination Grocery/Other,Albuquerque,7615 Isleta Blvd SW
100,Albuquerque,-106.7083061,35.05138184,Dollar General 13110,Combination Grocery/Other,Albuquerque,1811 Coors Blvd SW
84,Albuquerque,-106.637405,35.13132,DOLLAR GENERAL 9381,Combination Grocery/Other,Davenport,7900 E 50Th St
100,Albuquerque,-106.6450757,35.10642476,Dollar General 19201,Combination Grocery/Other,Albuquerque,2001 2nd St NW
100,Albuquerque,-106.7298845,35.0747401,Dollar General 19026,Combination Grocery/Other,Albuquerque,101 86th St SW
100,Albuquerque,-106.701174,34.90752237,DOLLAR GENERAL 19200,Combination Grocery/Other,Albuquerque,1605 Isleta Blvd SW
100,Albuquerque,-106.6450757,35.10642476,Dollar General 23905,Combination Grocery/Other,Albuquerque,2001 2nd St NW
100,Albuquerque,-106.6430156,35.20715915,Dollar Tree 2654,Combination Grocery/Other,Albuquerque,10701 Coors Blvd NW
100,Albuquerque,-106.5914358,35.07287439,DOLLAR TREE 2967,Combination Grocery/Other,Albuquerque,5555 Zuni Rd SE
99.13,Albuquerque,-106.6987761,35.14073835,DOLLAR TREE 2664,Combination Grocery/Other,Albuquerque,3301 Coors Blvd NW
100,Albuquerque,-106.5863396,35.14182498,DOLLAR TREE 2745,Combination Grocery/Other,Albuquerque,6300 San Mateo Blvd NE
100,Albuquerque,-106.567452,35.08733243,DOLLAR TREE 2653,Combination Grocery/Other,Albuquerque,6001 Lomas Blvd NE
100,Albuquerque,-106.6528853,35.1117906,DOLLAR TREE 2851,Combination Grocery/Other,Albuquerque,300 Menaul Blvd NW
100,Albuquerque,-106.4999571,35.06841639,DOLLAR TREE 2689,Combination Grocery/Other,Albuquerque,13130 Central Ave SE
96.38,Albuquerque,-106.6793496,35.05910343,DOLLAR TREE 2885,Combination Grocery/Other,ALBUQUERQUE,1511 GOFF AVE SW
100,Albuquerque,-106.5507142,35.10397041,DOLLAR TREE 2661,Combination Grocery/Other,Albuquerque,2030 Wyoming Blvd NE
100,Albuquerque,-106.712675,35.03506591,Dollar Tree 6766,Combination Grocery/Other,Albuquerque,3211 Coors Blvd SW
99.13,Albuquerque,-106.6430156,35.20715915,Dollar Tree 3702,Combination Grocery/Other,Albuquerque,9301 Coors Blvd NW
99.05,Albuquerque,-106.7463225,35.08507578,Dollar Tree 3892,Combination Grocery/Other,Albuquerque,120 98th St NW
100,Albuquerque,-106.7256761,35.1922271,Dollar Tree 3800,Combination Grocery/Other,Albuquerque,6521 Paradise Blvd NW
100,Albuquerque,-106.5597816,35.17544384,Dollar Tree 4182,Combination Grocery/Other,Albuquerque,8102 Wyoming Blvd NE
100,Albuquerque,-106.51521,35.13073569,Dollar Tree 4752,Combination Grocery/Other,Albuquerque,11201 Montgomery Blvd NE
100,Albuquerque,-106.712675,35.03506591,Dollar Tree 6766,Combination Grocery/Other,Albuquerque,3211 Coors Blvd SW
100,Albuquerque,-106.6974808,35.08279621,Dollar Tree 7111,Combination Grocery/Other,Albuquerque,4208 Central Ave SW
100,Albuquerque,-106.5125293,35.08675282,Dollar Tree 7555,Combination Grocery/Other,Albuquerque,11110 Lomas Blvd NE
98.13,Albuquerque,-106.569396,35.13065725,Dollar Tree 8646,Combination Grocery/Other,Albuquerque,5001 Montgomery Blvd
98.62,Albuquerque,-106.6433394,35.12777342,DOLLARTREE 8068,Combination Grocery/Other,Albuqueruque,6211 4th St NW
100,Albuquerque,-106.6987761,35.14073835,DOLLARTREE 8312,Combination Grocery/Other,Albuquerque,6200 Coors Blvd NW
100,Albuquerque,-106.5322126,35.07781056,DOLLARTREE 8502,Combination Grocery/Other,Albuquerque,300 Eubank Blvd NE
100,Albuquerque,-106.6122661,35.1375536,DOLLARTREE 8649,Combination Grocery/Other,Albuquerque,1405 N Renaissance Blvd NE
100,Albuquerque,-106.5860986,35.08533155,DOLLY MADISON 295,Combination Grocery/Other,Albuquerque,820 San Mateo Blvd NE
97.2,Albuquerque,-106.6983996,35.08273199,DOLLY MADISON BAKERY # 296 296..,Bakery Specialty,ALBUQUERQUE,5201 CENTRAL NW
