Score,City,X,Y,Name,Type_1,city,county,FullAddress
100,Albuquerque,-106.6644804,35.14267947,Rio Grande Community Farm,Farmers' Market,Albuquerque,BERNALILLO,1701 Montano Rd NW
100,Albuquerque,-106.6757758,35.05389364,RIO GRANDE FRUITS & VEGETABLES,Large Grocery Store,Albuquerque,BERNALILLO,1403 Isleta Blvd SW
100,Albuquerque,-106.6757758,35.05389364,RIO GRANDE FRUITS & VEGETABLES,Large Grocery Store,Albuquerque,BERNALILLO,1403 Isleta Blvd SW
100,Albuquerque,-106.6757758,35.05389364,RIO GRANDE FRUITS & VEGETABLES,Large Grocery Store,Albuquerque,BERNALILLO,1403 Isleta Blvd SW
97.28,Albuquerque,-106.6755293,35.11849783,RIO GRANDE VALLEY MARKET,Combination Grocery/Other,Albuquerque,BERNALILLO,2400 RIO GRANDE NW
100,Albuquerque,-106.7049257,35.19671388,RIO VISTA MARKET INC,Medium Grocery Store,Albuquerque,BERNALILLO,5621 Paradise Blvd NW
100,Albuquerque,-106.6790157,35.04532171,ROSALES PRODUCE #2,Fruits/Veg Specialty,Albuquerque,BERNALILLO,2001 Isleta Blvd SW
100,Albuquerque,-106.6790157,35.04532171,ROSALES PRODUCE #2,Fruits/Veg Specialty,Albuquerque,BERNALILLO,2001 Isleta Blvd SW
97.67,Albuquerque,-106.6458352,35.03271939,"RYKOFF-SEXTON, INC.",Wholesaler,Albuquerque,BERNALILLO,3205 Broadway Blvd SE
100,Albuquerque,-106.6794896,35.0344741,SALMONS MEATS,Small Grocery Store,Albuquerque,BERNALILLO,2721 Isleta Blvd SW
100,Albuquerque,-106.6590115,35.20667021,Sam's Club 4703,Super Store,Albuquerque,BERNALILLO,10600 Coors Byp NW
100,Albuquerque,-106.6133329,35.13755139,Sam's Club 4938,Super Store,Albuquerque,BERNALILLO,1421 N Renaissance Blvd NE
100,Albuquerque,-106.5322126,35.07781056,Sam's Club 6672,Super Store,Albuquerque,BERNALILLO,300 Eubank Blvd NE
99.15,Albuquerque,-106.577459,35.10969395,Samanthas Produce and More,Small Grocery Store,Albuquerque,BERNALILLO,3000 San Pedro Dr NE
100,Albuquerque,-106.6454891,35.06927842,Samanthas Produce and More,Fruits/Veg Specialty,Albuquerque,BERNALILLO,1430 Broadway Blvd SE
97.24,Albuquerque,-106.577459,35.10969395,San Pedro Mart,Medium Grocery Store,Albuquerque,BERNALILLO,4001 San Pedro NE
100,Albuquerque,-106.577459,35.10969395,SAN PEDRO MIDDLE EAST GROCERY & RESTAURANT,Small Grocery Store,Albuquerque,BERNALILLO,4001 San Pedro Dr NE
99.15,Albuquerque,-106.5819277,35.09465843,San Pedro Mile-hi Farmers' Market,Farmers' Market,Albuquerque,BERNALILLO,2000 Alvarado Dr Ne
99.15,Albuquerque,-106.5819277,35.09465843,San Pedro Mile-hi Farmers' Market,Farmers' Market,Albuquerque,BERNALILLO,2000 Alvarado Dr Ne
100,Albuquerque,-106.586383,35.06469641,SANDIA FRUIT AND VEGETABLES,Small Grocery Store,Albuquerque,BERNALILLO,1115 San Mateo Blvd SE
100,Albuquerque,-106.5418646,35.10271221,SARA LEE BAKERY STORE  2,Bakery Specialty,Albuquerque,BERNALILLO,1815 Moon St NE
95.88,Albuquerque,-106.4972878,35.07755892,SARA LEE BAKERY STORE  5,Bakery Specialty,Albuquerque,BERNALILLO,417 Tramway Blvd NE Ste 105
100,Albuquerque,-106.5774674,35.07324409,Sathoud's African Foods,Combination Grocery/Other,Albuquerque,BERNALILLO,412 San Pedro Dr Se
97.08,Albuquerque,-106.6983996,35.08273199,SAVE A LOT  1426,Supermarket,Albuquerque,BERNALILLO,4201 Central Ave NW Ste D
100,Albuquerque,-106.6066025,35.10916206,Segovias Distributing Inc. FA0126542,Small Grocery Store,Albuquerque,BERNALILLO,3310 Menaul Blvd NE
100,Albuquerque,-106.6722972,35.09530534,Senas Beef Jerky,Combination Grocery/Other,Albuquerque,BERNALILLO,2129 Central Ave NW
100,Albuquerque,-106.6187714,35.13389541,Shamrock Foodservice Warehouse 536,Super Store,Albuquerque,BERNALILLO,1221 S Renaissance Blvd Ne
100,Albuquerque,-106.6562501,35.07155714,SILVAS GRO,Small Grocery Store,Albuquerque,BERNALILLO,1400 8th St SW
99.13,Albuquerque,-106.6560627,35.0830906,Silver Street Market,Supermarket,Albuquerque,BERNALILLO,205 Silver Ave Sw
100,Albuquerque,-106.4979099,35.13265402,Smith's 439,Super Store,Albuquerque,BERNALILLO,4700 Tramway Blvd NE
100,Albuquerque,-106.622087,35.07604426,Smith's 443,Super Store,Albuquerque,BERNALILLO,320 Yale Blvd SE
100,Albuquerque,-106.567452,35.08733243,Smith's 446,Super Store,Albuquerque,BERNALILLO,6001 Lomas Blvd NE
100,Albuquerque,-106.6878435,35.17929701,Smith's 448,Super Store,Albuquerque,BERNALILLO,8301 Golf Course Rd NW
100,Albuquerque,-106.7102879,35.09180417,SMITH'S FOOD & DRUG 498,Super Store,Albuquerque,BERNALILLO,111 Coors Blvd NW
100,Albuquerque,-106.5334664,35.13894655,SMITH'S FOOD & DRUG  494,Super Store,Albuquerque,BERNALILLO,5850 Eubank Blvd NE
100,Albuquerque,-106.6028325,35.09484576,SMITH'S FOOD & DRUG  496,Super Store,Albuquerque,BERNALILLO,3701 Constitution Ave NE
100,Albuquerque,-106.568636,35.13004083,Smith's Food & Drug 485,Super Store,Albuquerque,BERNALILLO,4016 Louisiana Blvd NE
100,Albuquerque,-106.6785859,35.206891,Smith's Food & Drug 463,Super Store,Albuquerque,BERNALILLO,4800 McMahon Blvd NW
100,Albuquerque,-106.6792049,35.05349197,Smith's Price-Rite 571,Super Store,Albuquerque,BERNALILLO,1601 Arenal Rd SW
100,Albuquerque,-106.6040823,35.10974095,SMITHS 429,Super Store,Albuquerque,BERNALILLO,2630 Carlisle Blvd NE
100,Albuquerque,-106.6433394,35.12777342,SMITHS 423,Super Store,Albuquerque,BERNALILLO,6125 4th St NW
100,Albuquerque,-106.4978557,35.06688053,SMITHS 427,Super Store,Albuquerque,BERNALILLO,200 Tramway Blvd SE
100,Albuquerque,-106.4978557,35.06688053,SMITHS 427,Super Store,Albuquerque,BERNALILLO,200 Tramway Blvd SE
100,Albuquerque,-106.6433394,35.12777342,SMITHS 423,Super Store,Albuquerque,BERNALILLO,6125 4th St NW
100,Albuquerque,-106.5505147,35.14744049,SMITHS # 450 450,Super Store,Albuquerque,BERNALILLO,8040 Academy Rd NE
100,Albuquerque,-106.5505147,35.14744049,SMITHS # 450 450,Super Store,Albuquerque,BERNALILLO,8040 Academy Rd NE
100,Albuquerque,-106.559951,35.17575095,SMITHS FOOD & DRUG 459,Super Store,Albuquerque,BERNALILLO,8100 Wyoming Blvd NE
100,Albuquerque,-106.5784647,35.0768762,SO LO FRESH MART  176,Supermarket,Albuquerque,BERNALILLO,6100 Central Ave SE
97.24,Albuquerque,-106.5775774,35.0603985,SO:LO  868,Supermarket,Albuquerque,BERNALILLO,201 SAN PEDRO SE
97.16,Albuquerque,-106.6862812,35.06524368,SO:LO  866,Supermarket,Albuquerque,BERNALILLO,1720 BRIDGE SW
96.38,Albuquerque,-106.6430156,35.20715915,SO:LO  865,Supermarket,Albuquerque,BERNALILLO,10701 COORS RD NW
100,Albuquerque,-106.6455152,35.07019122,Sol Supermarket Llc,Supermarket,Albuquerque,BERNALILLO,1312 Broadway Blvd Se
100,Albuquerque,-106.5337571,35.10900151,SOLON'S MEAT MARKET,Medium Grocery Store,Albuquerque,BERNALILLO,9645 Menaul Blvd NE
100,Albuquerque,-106.5337571,35.10900151,SOLON'S MEAT MARKET,Medium Grocery Store,Albuquerque,BERNALILLO,9645 Menaul Blvd NE
100,Albuquerque,-106.5337571,35.10900151,SOLON'S MEAT MARKET,Meat/Poultry Specialty,Albuquerque,BERNALILLO,9645 Menaul Blvd NE
100,Albuquerque,-106.6835504,35.01888374,"South Valley Growers' Association, Inc.",Farmers' Market,Albuquerque,BERNALILLO,3907 Isleta Blvd Sw
100,Albuquerque,-106.5880452,35.08741625,Sprouts Farmers Market 702,Supermarket,Albuquerque,BERNALILLO,5112 Lomas Blvd NE
99.19,Albuquerque,-106.5863396,35.14182498,Sprouts Farmers Market 704,Supermarket,Albuquerque,BERNALILLO,6300 San Mateo Blvd NE
99.15,Albuquerque,-106.6510256,35.19836759,Sprouts Farmers Market 701,Supermarket,Albuquerque,BERNALILLO,10701 Corrales Rd NW
99.22,Albuquerque,-106.5227763,35.13073145,Sprouts Farmers Market 703,Supermarket,Albuquerque,BERNALILLO,11201 Montgomery Blvd NE
100,Albuquerque,-106.4999571,35.06841639,Sprouts Farmers Market 707,Supermarket,Albuquerque,BERNALILLO,13150 Central Ave SE
100,Albuquerque,-106.6987761,35.14073835,Sprouts Farmers Market 708,Supermarket,Albuquerque,BERNALILLO,5600 Coors Blvd NW
100,Albuquerque,-106.6266494,35.07731715,ST CHARLES SHARE,Food Buying Co-op,Albuquerque,BERNALILLO,1818 Coal Pl SE
